repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study
collaboratory	FI253004	6ec628ba-24ea-5c09-b322-505e0a3bd721	VCF	367fdef3-d7af-4996-932f-cc5087e843dc.MUSE_1-0rc-vcf.20150918.somatic.snv_mnv.vcf.gz	103261	bc73426e1ffc936196f03e362c404dc9	adf1ee79-788d-5cb6-8f91-a08e500baaad	DO6504	CLLE-ES	PCAWG
collaboratory	FI253013	3bb1592e-e232-5103-ab28-22ce5db2f87a	VCF	ad92f17f-11e6-49bd-9835-6b2f47053485.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	2693056	3422089419a20947e4c36a8c478ffa8c	34b02786-0147-5817-bd84-51be0c09507a	DO6513	CLLE-ES	PCAWG
collaboratory	FI253017	9cfea490-5315-5ff8-819c-db34feffea48	VCF	ad92f17f-11e6-49bd-9835-6b2f47053485.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	346171	752303d7b2e1497a4d20585502e058e9	a2dc2790-7a67-5b05-a4d1-f14af7c71159	DO6513	CLLE-ES	PCAWG
collaboratory	FI253028	80028d45-724f-5d74-ab63-83706a9850e5	VCF	ad92f17f-11e6-49bd-9835-6b2f47053485.MUSE_1-0rc-vcf.20150918.somatic.snv_mnv.vcf.gz	165471	9e1a57f2f1386ceb3e8badc90f6ba277	032b7439-f435-5aea-ac70-d179a9ae3f41	DO6513	CLLE-ES	PCAWG
collaboratory	FI253037	194bbbe2-c82a-5526-85d3-2b586b8370ab	VCF	99e7016a-c3c1-431c-8838-beb78a3cc017.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	500336	7abc55fd502d41ac5016d4a9a3662fc3	ae1a02e9-87ce-59ac-832f-178c7c913499	DO52708	CLLE-ES	PCAWG
collaboratory	FI253039	35bb77e2-1d0e-5a40-8fec-704951a8af71	VCF	99e7016a-c3c1-431c-8838-beb78a3cc017.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	1389822	106049f655b86537ae3619033b1540a6	08daa82d-dce2-5e77-8c94-c6a2b1a7d9b1	DO52708	CLLE-ES	PCAWG
collaboratory	FI253052	7dd1559c-f63b-5bb4-9435-697b807d8081	VCF	99e7016a-c3c1-431c-8838-beb78a3cc017.MUSE_1-0rc-vcf.20150918.somatic.snv_mnv.vcf.gz	140017	2061952b6413b50373dbf74d3a2cde83	394442f9-b1b3-5069-9ffa-4ee472624099	DO52708	CLLE-ES	PCAWG
collaboratory	FI253061	ec7b4f55-7039-5033-8171-1b9de13cee68	VCF	1157a548-6770-4c89-a84c-bcf6f0e96ea8.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	1767226	200d312dab89c3c6ed349ead1538d826	ed831088-f0aa-51d8-9490-62babbb8561e	DO6351	CLLE-ES	PCAWG
collaboratory	FI253063	47ea46c3-f25f-5a88-85d9-0121ba71ba59	VCF	1157a548-6770-4c89-a84c-bcf6f0e96ea8.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	1841984	052d3b87c396d0165118cedfd90e7469	210f0576-fa8f-5e68-b67d-c71883a1acbb	DO6351	CLLE-ES	PCAWG
collaboratory	FI253076	41f34ca3-6c49-58c2-af34-3b3828953852	VCF	1157a548-6770-4c89-a84c-bcf6f0e96ea8.MUSE_1-0rc-vcf.20150918.somatic.snv_mnv.vcf.gz	315902	e426d5c45c7d7e0e544058e4f515db69	06113d61-bbfd-5b6e-b848-dcf12c5a1e7e	DO6351	CLLE-ES	PCAWG
collaboratory	FI253085	d08e747e-e009-5612-98ad-7191eadf97bf	VCF	26c301a6-a597-4c24-9f6c-2293e5ae41c7.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	1181908	d476a68f89e1e3c7b2508d218be27d65	ba32b32c-168d-5ac2-9433-2fcbef4c9056	DO6378	CLLE-ES	PCAWG
collaboratory	FI253089	3d3ef073-1192-5ed9-a4bc-a1502ac35375	VCF	26c301a6-a597-4c24-9f6c-2293e5ae41c7.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	278747	dd9cbd1bb83ce825349d46828ebd4287	472c24bb-2b88-50ab-b2fe-989a77203e8e	DO6378	CLLE-ES	PCAWG
collaboratory	FI253100	27e0f200-19c8-58b6-8e05-ac7959334989	VCF	26c301a6-a597-4c24-9f6c-2293e5ae41c7.MUSE_1-0rc-vcf.20150918.somatic.snv_mnv.vcf.gz	108234	94ee4ca5bf66a8a4c32eba317be1ee7e	beeec788-1bcc-59f7-a2d0-fe6b16a068c0	DO6378	CLLE-ES	PCAWG
